0 -7709.9311523438 1 2 3 4 5 6 6_1 .3912420723428821449020384710045226877436
.0078125000 -7709.9233398438 7 11 13 15 18 21 6_2 .3195647460338581001413179937867518744655
.0366210938 -7709.8945312500 1 2 3 4 6 22 6_3 .1515223507334320062014821615270758020322
.0722656250 -7709.8588867188 7 10 12 13 15 16 6_4 .0601857511774895679447764501703439247987
.0825195313 -7709.8486328125 7 12 13 15 16 21 6_5 .0461468866896137976203347071320351068499
.1113281250 -7709.8198242188 1 3 4 5 6 11 6_6 .0218806512768803047825414516768282207842
.1865234376 -7709.7446289062 4 6 11 12 17 22 6_7 .0031199732474766387737935328496103813401
.2143554688 -7709.7167968750 1 2 4 21 22 24 6_8 .0015172409097936092634971003781500464676
.2187500000 -7709.7124023438 2 4 6 12 17 22 6_9 .0013539988100584759208236824246308537028
.2343750000 -7709.6967773438 7 8 11 12 15 29 6_10 .0009033268234487707669685549268366487312
.2607421876 -7709.6704101562 2 4 21 22 24 32 6_11 .0004562756923777086433638060707490695410
.2666015626 -7709.6645507812 7 8 12 15 16 29 6_12 .0003920236940160834297031641999014693155
.2675781250 -7709.6635742188 2 6 20 22 23 33 6_13 .0003822315062043675243213648187501567373
.2739257813 -7709.6572265625 7 8 11 12 15 41 6_14 .0003242787924471004477158143757107175662
.2939453126 -7709.6372070312 4 5 10 11 18 24 6_15 .0001930673822749191540626783624939213088
.2944335938 -7709.6367187500 7 8 12 15 16 41 6_16 .0001906408609915708973918061793614538018
.2963867188 -7709.6347656250 7 9 11 13 18 21 6_17 .0001812359375158668580298310852623361841
.3134765626 -7709.6176757812 3 19 20 22 24 27 6_18 .0001164105089113555714800653745205584350
.3168945313 -7709.6142578125 4 7 11 13 18 21 6_19 .0001065471315897899743808328651814430549
.3315429688 -7709.5996093750 2 4 21 22 24 30 6_20 .0000729044809109363366607798379015665942
.3608398438 -7709.5703125000 7 12 13 15 16 41 6_21 .0000341333678859348224983836149939421098
.3652343750 -7709.5659179688 4 5 10 11 12 14 6_22 .0000304609104609041917165884265260781602
.3735351563 -7709.5576171875 3 6 19 20 22 27 6_23 .0000245676305947441639009232925887545440
.3813476563 -7709.5498046875 4 8 10 11 12 14 6_24 .0000200667289809837677547241538995824681
.3974609376 -7709.5336914062 1 4 5 10 11 14 6_25 .0000132193557547491970223766400753753050
.4267578126 -7709.5043945312 1 2 4 21 22 36 6_26 .0000061892098750848748747987255386744379
.4335937500 -7709.4975585938 3 4 6 11 12 22 6_27 .0000051848280596334786303136253257688596
.4350585938 -7709.4960937500 1 4 8 10 11 14 6_28 .0000049917819256732490385625676169044077
.4482421876 -7709.4829101562 4 10 11 18 22 24 6_29 .0000035476994235397599249660730988581638
.4726562500 -7709.4584960938 7 8 11 12 15 45 6_30 .0000018849547024654442126372185041962791
.4829101563 -7709.4482421875 2 4 22 24 32 33 6_31 .0000014452721677130324604479211357843595
.5078125000 -7709.4233398438 4 11 20 22 24 41 6_32 .0000007582472108316854039002395576940463
.5083007813 -7709.4228515625 2 4 22 24 32 45 6_33 .0000007487173599170609420077218352778331
.5766601563 -7709.3544921875 1 4 8 10 11 36 6_34 .0000001274410619280433937508226353005006
.6274414063 -7709.3037109375 6 20 22 23 31 33 6_35 .0000000342015594651792655765365636386643
.6469726563 -7709.2841796875 6 12 22 23 31 33 6_36 .0000000206219243043040092802707485174644
.7480468750 -7709.1831054688 6 11 12 22 23 33 6_37 .0000000015041638991073334563575280721147
.7490234376 -7709.1821289062 4 5 11 18 22 24 6_38 .0000000014665920415818626688445893547681
.7607421876 -7709.1704101562 6 11 20 22 23 33 6_39 .0000000010826280915199511656708858254928
.8041992188 -7709.1269531250 1 3 5 6 11 12 6_40 .0000000003512445461219113888326505652501
.8129882813 -7709.1181640625 18 22 23 24 28 29 6_41 .0000000002797287247153968600212869547788
.8305664063 -7709.1005859375 10 18 23 24 28 34 6_42 .0000000001774156869148804789396276669380
.8681640626 -7709.0629882812 1 2 4 5 18 21 6_43 .0000000000669942191895713165143401834247
.8930664063 -7709.0380859375 1 4 21 22 31 36 6_44 .0000000000351478295764326323502756526018
.9096679688 -7709.0214843750 3 13 19 20 22 27 6_45 .0000000000228633202513195046379511483566
.9633789063 -7708.9677734375 7 8 11 12 45 47 6_46 .0000000000056874595206607873241183414031
.9814453126 -7708.9497070312 1 2 3 4 5 54 6_47 .0000000000035618887578048216294668579281
.9941406250 -7708.9370117188 3 6 13 19 22 27 6_48 .0000000000025636839511535228214023694730
1.0961914063 -7708.8349609375 1 7 21 23 31 37 6_49 .0000000000001823243274687113329878896723
1.1464843750 -7708.7846679688 2 12 15 21 23 37 6_50 .0000000000000495534693625731598834898355
1.1523437500 -7708.7788085938 10 18 24 27 31 34 6_51 .0000000000000425754306778798048743025957
1.1977539063 -7708.7333984375 1 21 23 31 36 37 6_52 .0000000000000131316008820988606995018831
1.4248046876 -7708.5063476562 1 11 22 24 32 41 6_53 .0000000000000000366531074300296572016158
